BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
00:00:00:00:00:00,8,WEP,WEP,,-55,None,,
00:01:9F:14:6F:70,1,WPA2WPA,CCMP TKIP,PSK,-71,RONE,,
00:0D:67:67:C7:69,11,OPN,,,-69,attwifi,,
00:0D:67:8B:8E:31,1,WPA2,CCMP,,-63,XFINITY,,
00:0D:67:8B:8E:32,1,OPN,,,-65,xfinitywifi,,
00:0D:67:8B:8E:33,1,OPN,,,-65,CableWiFi,,
00:0D:67:8B:8E:38,1,WPA2,CCMP,PSK,-55,None,,
00:0D:67:8B:AB:7D,1,WPA2,CCMP,,-65,XFINITY,,
00:0D:67:8B:AB:7E,1,OPN,,,-55,xfinitywifi,,
00:0D:67:8B:AB:7F,1,OPN,,,-55,CableWiFi,,
00:0D:67:8B:AB:84,1,WPA2,CCMP,PSK,-47,None,,
00:0D:67:8F:91:AD,1,WPA2,CCMP,,-33,XFINITY,,
00:0D:67:8F:91:AE,1,OPN,,,-35,xfinitywifi,,
00:0D:67:8F:91:AF,1,OPN,,,-29,CableWiFi,,
00:0D:67:8F:91:B4,1,WPA2,CCMP,PSK,-19,None,,
00:0D:67:8F:B0:18,1,WPA2,CCMP,PSK,-79,None,,
00:0D:67:8F:B1:6C,1,WPA2,CCMP,PSK,-77,None,,
00:0D:67:8F:B2:A5,1,WPA2,CCMP,,-73,XFINITY,,
00:0D:67:8F:B2:A7,1,OPN,,,-71,CableWiFi,,
00:0D:67:8F:B2:AC,1,WPA2,CCMP,PSK,-61,None,,
00:0D:67:90:16:55,1,WPA2,CCMP,,-61,XFINITY,,
00:0D:67:90:16:56,1,OPN,,,-71,xfinitywifi,,
00:0D:67:90:16:57,1,OPN,,,-71,CableWiFi,,
00:0D:67:90:16:5C,1,WPA2,CCMP,PSK,-47,None,,
00:0D:67:90:1E:12,1,OPN,,,-71,xfinitywifi,,
00:0D:67:90:1E:13,1,OPN,,,-71,CableWiFi,,
00:0D:67:90:1E:18,1,WPA2,CCMP,PSK,-69,None,,
00:0D:67:92:F1:09,1,WPA2,CCMP,,-39,XFINITY,,
00:0D:67:92:F1:0A,1,OPN,,,-37,xfinitywifi,,
00:0D:67:92:F1:0B,1,OPN,,,-39,CableWiFi,,
00:0D:67:92:F1:10,1,WPA2,CCMP,PSK,-29,None,,
00:0D:97:09:C4:58,11,WPA2,CCMP,PSK,-81,None,,
00:0E:58:51:00:89,1,WPA2,CCMP,PSK,-71,None,,
00:0E:58:51:85:59,1,WPA2,CCMP,PSK,-73,None,,
